火车出行,
我大学的时候经常坐火车出去玩。,那挺好的，你经常和谁一起呀？
有时候我自己，有时候和好朋友一起。,那你坐火车坐的最久的一次是什么时候呀？
是我去深圳的时候。,坐了多长时间？
20多个小时，真是好无聊。,哈哈，你买的是硬座还是卧铺？
当然是卧铺，坐硬座我会疯的。,比起坐硬座的，你幸福多了。
那是，人总要对自己好点嘛。,那你在火车上总是干嘛呀？
扣手机，听音乐，刷微博等等。,其实我挺喜欢跟火车上的人聊天的。
不不不，我觉得火车上的人太乱了，不想跟陌生人说太多。,那我觉得还是你不无聊。
哈哈。,
那你呢？坐火车都干嘛？,我就是各种吃呀，哈哈。
真不愧是个吃货，友尽。,别介呀，下次带你坐火车，我请你吃。
好的，谢谢你，么么哒呀。,咦，别来亲我，我怕我会爱上你。
哈哈，谁知道下次坐火车会在什么时候？,放个小假不就可以坐火车回去了。
是的，不过逢年过节的，火车站人太多了。,大家都回家心切嘛。
对的，而且火车比较普遍。,恩恩，最主要是火车便宜。
对，安全系数相对较高。,说的真好，哈哈。
,
跟团游,
你喜欢出去旅游吗？,当然啦，旅游多好了，陶冶心情增长见识。
没错，那你都去过哪些地方呀？,深圳，上海，西安，桂林。
哇喔，好多啊，你跟谁去的呀？,都是和我女朋友一起去的。
哎呦，看来你们俩都挺喜欢旅游的。,对呀，因为大自然多美好呀。
那你们是自驾游还是跟团游呀？,一般都是跟团游的。
为什么喜欢跟团游呢？,首先会比较便宜，然后会认识多朋友的。
不过我觉得自驾游也挺好的呀。,确实，自驾游比较随心一点，但是我嫌麻烦。
怎么会麻烦呢？自己想去呢就去哪，不受约束。,但是我觉得跟团也挺好呀，有问题找导游就好了。
你遇到过被导游坑的事吗？,没有，难道你有吗？
是的，所以从那次开始就不再跟团游了。,怎么回事呀？
就是被导游带着强行购物嘛。,哈哈，这个到哪里都有的，你不买就可以了。
可我的是强行的，好无语。,那你其实完全可以投诉导游的。
毕竟是在外地，都想多一事不如少一事的。,这就是你的不对了，最基本你要维护自己的权益嘛。
恩恩，毕竟第一次没有经验嘛，哈哈。,下次约起来，咱们可以一起跟团游。
那真是太好了，有你在我放心。,好的，以后跟着大哥混，哈哈。
,
电脑,
最近新出了一款显卡你知不知道？,知道啊，是那个GTX1080对吧？
对啊，那你知道它卖多少钱吗？,它是有两个版本的你想知道哪一个？
你都说一下吧。,普通版的是4599元起，Founders版本5399元起。
